,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials ,Information Technology,Communication Services,Utilities
2022-09-30,0.7619047619047619,0.5357142857142857,0.7605633802816901,0.6428571428571429,0.7575757575757576,0.734375,0.71875,0.7333333333333333,0.5,0.6206896551724138
2022-06-30,0.7142857142857143,0.75,0.8309859154929577,0.7241379310344828,0.696969696969697,0.7619047619047619,0.676923076923077,0.868421052631579,0.625,0.7241379310344828
2022-03-31,0.7619047619047619,0.75,0.8732394366197183,0.6666666666666666,0.875,0.7692307692307693,0.765625,0.84,0.7307692307692307,0.6551724137931034
2021-12-31,0.7142857142857143,0.6428571428571429,0.8169014084507042,0.7377049180327869,0.6875,0.796875,0.7692307692307693,0.8947368421052632,0.56,0.6785714285714286
2021-09-30,0.8,0.6071428571428571,0.8356164383561644,0.746031746031746,0.78125,0.90625,0.873015873015873,0.9459459459459459,0.7307692307692307,0.6071428571428571
2021-06-30,0.7727272727272727,0.7142857142857143,0.8356164383561644,0.8888888888888888,0.8125,0.9206349206349206,0.9047619047619048,0.972972972972973,0.84,0.6428571428571429
2021-03-31,0.7916666666666666,0.8214285714285714,0.9041095890410958,0.9,0.78125,0.8064516129032258,0.953125,0.9178082191780822,0.88,0.75
2020-12-31,0.5,0.7857142857142857,0.7671232876712328,0.7288135593220338,0.75,0.7936507936507936,0.8307692307692308,0.9315068493150684,0.96,0.6071428571428571
2020-09-30,0.72,0.8571428571428571,0.9041095890410958,0.8666666666666667,0.90625,0.9193548387096774,0.78125,0.9295774647887324,0.88,0.7142857142857143
2020-06-30,0.7307692307692307,0.8571428571428571,0.9178082191780822,0.7377049180327869,0.8787878787878788,0.8870967741935484,0.7538461538461538,0.9285714285714286,0.88,0.7857142857142857
2020-03-31,0.7777777777777778,0.8571428571428571,0.6521739130434783,0.4603174603174603,0.7575757575757576,0.8,0.5692307692307692,0.7605633802816901,0.56,0.5357142857142857
2019-12-31,0.4642857142857143,0.5714285714285714,0.6,0.7580645161290323,0.6363636363636364,0.7833333333333333,0.7121212121212122,0.8285714285714286,0.72,0.75
2019-09-30,0.5714285714285714,0.5714285714285714,0.7611940298507462,0.6984126984126984,0.8181818181818182,0.8709677419354839,0.8153846153846154,0.8805970149253731,0.72,0.6785714285714286
2019-06-30,0.6428571428571429,0.75,0.7121212121212122,0.7301587301587301,0.696969696969697,0.9516129032258065,0.7424242424242424,0.8181818181818182,0.72,0.39285714285714285
2019-03-31,0.5862068965517241,0.68,0.6956521739130435,0.78125,0.84375,0.8064516129032258,0.7014925373134329,0.8235294117647058,0.88,0.5
2018-12-31,0.4827586206896552,0.52,0.7971014492753623,0.75,0.6060606060606061,0.7213114754098361,0.6119402985074627,0.8208955223880597,0.64,0.5862068965517241
2018-09-30,0.7333333333333333,0.6956521739130435,0.6666666666666666,0.8153846153846154,0.75,0.7741935483870968,0.7727272727272727,0.90625,0.8,0.8275862068965517
2018-06-30,0.41935483870967744,0.8333333333333334,0.8260869565217391,0.810126582278481,0.90625,0.9206349206349206,0.7424242424242424,0.9154929577464789,0.6666666666666666,0.7241379310344828
