,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials ,Information Technology,Communication Services,Utilities
2022-09-30,0.14285714285714285,0.39285714285714285,0.19718309859154928,0.32142857142857145,0.18181818181818182,0.25,0.25,0.13333333333333333,0.5,0.2413793103448276
2022-06-30,0.14285714285714285,0.21428571428571427,0.14084507042253522,0.27586206896551724,0.18181818181818182,0.19047619047619047,0.3230769230769231,0.10526315789473684,0.375,0.10344827586206896
2022-03-31,0.23809523809523808,0.25,0.09859154929577464,0.31666666666666665,0.09375,0.2153846153846154,0.171875,0.13333333333333333,0.2692307692307692,0.3103448275862069
2021-12-31,0.2857142857142857,0.32142857142857145,0.15492957746478872,0.22950819672131148,0.25,0.15625,0.2153846153846154,0.06578947368421052,0.36,0.25
2021-09-30,0.1,0.32142857142857145,0.1506849315068493,0.20634920634920634,0.21875,0.09375,0.12698412698412698,0.02702702702702703,0.23076923076923078,0.35714285714285715
2021-06-30,0.18181818181818182,0.21428571428571427,0.1095890410958904,0.1111111111111111,0.125,0.07936507936507936,0.07936507936507936,0.013513513513513514,0.12,0.25
2021-03-31,0.125,0.10714285714285714,0.0821917808219178,0.08333333333333333,0.21875,0.1774193548387097,0.03125,0.0547945205479452,0.04,0.21428571428571427
2020-12-31,0.4583333333333333,0.21428571428571427,0.1917808219178082,0.2711864406779661,0.1875,0.19047619047619047,0.15384615384615385,0.0547945205479452,0.04,0.21428571428571427
2020-09-30,0.16,0.14285714285714285,0.0821917808219178,0.13333333333333333,0.09375,0.04838709677419355,0.171875,0.028169014084507043,0.08,0.25
2020-06-30,0.2692307692307692,0.14285714285714285,0.0821917808219178,0.2459016393442623,0.12121212121212122,0.0967741935483871,0.2153846153846154,0.014285714285714285,0.12,0.10714285714285714
2020-03-31,0.14814814814814814,0.10714285714285714,0.30434782608695654,0.5238095238095238,0.24242424242424243,0.15,0.4307692307692308,0.14084507042253522,0.4,0.42857142857142855
2019-12-31,0.4642857142857143,0.39285714285714285,0.2571428571428571,0.16129032258064516,0.15151515151515152,0.11666666666666667,0.22727272727272727,0.15714285714285714,0.24,0.21428571428571427
2019-09-30,0.39285714285714285,0.32142857142857145,0.14925373134328357,0.25396825396825395,0.09090909090909091,0.016129032258064516,0.16923076923076924,0.08955223880597014,0.2,0.25
2019-06-30,0.2857142857142857,0.14285714285714285,0.18181818181818182,0.19047619047619047,0.15151515151515152,0.03225806451612903,0.18181818181818182,0.10606060606060606,0.16,0.4642857142857143
2019-03-31,0.27586206896551724,0.2,0.2463768115942029,0.15625,0.15625,0.14516129032258066,0.208955223880597,0.11764705882352941,0.04,0.39285714285714285
