Date,earnings_per_share,sales_per_share,operating_margin,operating_sales_cont,earnings_beat,earnings_miss
2022-12-31,6.3,129.397868805953,0.07256688295292858,0.09963934615467186,,
2022-09-30,6.19,129.907275612335,0.05704068509690463,0.10328179205985448,0.7575757575757576,0.18181818181818182
2022-06-30,7.14,122.182602799901,0.06752188782155068,0.09986604568215712,0.696969696969697,0.18181818181818182
2022-03-31,8.83,120.024685322979,0.06981897080129758,0.1008919042877249,0.875,0.09375
2021-12-31,8.38,121.307530383507,0.07336725075403931,0.0997935487735907,0.6875,0.25
2021-09-30,6.91,119.751061941782,0.07774461327554771,0.1054613813463586,0.78125,0.21875
2021-06-30,7.74,112.983606737036,0.08018862436465427,0.10159025854698575,0.8125,0.125
2021-03-31,6.99,109.147722889286,0.07192087743289567,0.10470883539504973,0.78125,0.21875
2020-12-31,6.07,110.089319928423,0.06739981684712265,0.10523555681066404,0.75,0.1875
2020-09-30,7.4,107.971224772342,0.0865971467834558,0.11157771364911959,0.90625,0.09375
2020-06-30,5.58,99.9608780701668,0.07943107496941529,0.11376101754986657,0.8787878787878788,0.12121212121212122
2020-03-31,6.88,104.989228763481,0.07000718156105355,0.11345552491681853,0.7575757575757576,0.24242424242424243
2019-12-31,5.8,105.077079687746,0.07775244634013918,0.10236298904388975,0.6363636363636364,0.15151515151515152
2019-09-30,5.69,104.522178044275,0.07385992278815556,0.10579012353706159,0.8181818181818182,0.09090909090909091
2019-06-30,3.99,99.7164409950889,0.07651697076087766,0.1014765967944646,0.696969696969697,0.15151515151515152
2019-03-31,6.49,98.3481194911266,0.07107405851954972,0.10392435692118847,0.84375,0.15625
2018-12-31,5.25,100.69443606234,0.07080828175636052,0.10336497661089167,0.6060606060606061,0.2727272727272727
2018-09-30,7.7,100.429725293361,0.07786539271273848,0.1042208704079162,0.75,0.15625
2018-06-30,5.99,96.1449021049761,0.07935938185957235,0.10275037118553207,0.90625,0.03125
2018-03-31,6.8,105.17467701792,0.06436910663245017,0.12242754710248958,0.7941176470588235,0.17647058823529413
2017-12-31,7.57,108.564256773162,0.06843873131766107,0.12291750693226877,0.696969696969697,0.15151515151515152
2017-09-30,6.48,105.814292118556,0.06776022271137645,0.12883857567892343,0.7647058823529411,0.17647058823529413
2017-06-30,6.01,97.930068608824,0.06862039509890115,0.1258414262041408,0.6388888888888888,0.2222222222222222
2017-03-31,5.35,95.9047800853506,0.06245778359190429,0.12736480461849392,0.5675675675675675,0.3783783783783784
2016-12-31,8.51,98.3029881657548,0.06642727878209928,0.1287900202571366,0.5675675675675675,0.32432432432432434
2016-09-30,6.0,96.5098590171543,0.07035550636120089,0.13012566100883802,0.7142857142857143,0.14285714285714285
2016-06-30,6.08,93.4527431807323,0.06741375143815904,0.1288515091251704,0.7222222222222222,0.19444444444444445
2016-03-31,5.69,93.2357363660154,0.06124261171257618,0.13407632939990374,0.8648648648648649,0.08108108108108109
2015-12-31,5.03,95.116698525038,0.06308040641697202,0.13062737182143497,0.6578947368421053,0.21052631578947367
2015-09-30,6.96,94.3612741116507,0.06602284738788608,0.13080655038229377,0.7027027027027027,0.24324324324324326
2015-06-30,5.49,91.0682093095581,0.07005737840208509,0.1281588372294184,0.6944444444444444,0.16666666666666666
2015-03-31,5.02,89.3974241491995,0.06387208640900342,0.13083613535847147,0.7297297297297297,0.1891891891891892
2014-12-31,4.81,97.2622503310093,0.06014666512537901,0.1318722437666169,0.65,0.2
2014-09-30,5.49,94.2228852264328,0.06834857566209782,0.1301604283293369,0.75,0.15
2014-06-30,5.75,92.6121203273874,0.06824160787657768,0.1286030657241671,0.475,0.35
2014-03-31,4.95,90.1382262399168,0.06157210133276661,0.13182436782894932,0.5641025641025641,0.3333333333333333
2013-12-31,5.67,94.4397825970398,0.06956813981702173,0.13296940067819854,0.55,0.325
2013-09-30,6.42,90.2904027883948,0.06833505898140751,0.13307150400488116,0.6,0.2
2013-06-30,5.56,88.0540496104539,0.06564150116400541,0.1305933080018605,0.625,0.225
2013-03-31,5.04,87.3013805914085,0.062198329089590325,0.13512376159513653,0.6097560975609756,0.2682926829268293
2012-12-31,5.91,99.046934782742,0.06390909535852636,0.1442758009021107,0.7142857142857143,0.2619047619047619
2012-09-30,5.26,87.1071881778902,0.06578102358554154,0.1369415040797623,0.675,0.15
2012-06-30,5.16,84.2427800058526,0.06505008499979807,0.1346590246383428,0.7317073170731707,0.17073170731707318
2012-03-31,4.62,85.4277568562839,0.059231334009067986,0.13780522122387617,,
2011-12-31,4.26,88.4122446829131,0.06288721680962532,0.1402123171327205,,
2011-09-30,4.97,85.2473116808119,0.06463546933457412,0.13808551287602838,,
2011-06-30,5.08,84.1255151939471,0.06407093005699435,0.13917290683996647,,
2011-03-31,4.71,79.4443943964845,0.06193010894444826,0.13889063059434842,,
2010-12-31,5.96,81.59271047696842,0.06444117435927828,0.14220643614417786,,
2010-09-30,4.5,117.58509680908894,0.07738779339723571,0.14220643614417786,,
2010-06-30,4.64,,,,,
2010-03-31,3.99,,,,,
2009-12-31,4.28,,,,,
2009-09-30,4.46,,,,,
2009-06-30,4.33,,,,,
2009-03-31,3.48,,,,,
2008-12-31,2.51,,,,,
2008-09-30,4.49,,,,,
2008-06-30,3.53,,,,,
2008-03-31,3.71,,,,,
