Date,earnings_per_share,sales_per_share,operating_margin,operating_sales_cont,earnings_beat,earnings_miss
2022-12-31,15.24,226.28871759055,0.08140043479025504,0.18810642546840997,,
2022-09-30,13.74,219.281782371112,0.0887898656672218,0.18902055377831095,0.734375,0.25
2022-06-30,16.89,218.14542148029,0.09209394463269858,0.19397384736973045,0.7619047619047619,0.19047619047619047
2022-03-31,17.24,213.73967137268,0.09413320358726686,0.19979568510660817,0.7692307692307693,0.2153846153846154
2021-12-31,16.1,210.321348125409,0.08967230463335697,0.19144012992973394,0.796875,0.15625
2021-09-30,19.27,203.251586686566,0.10607543267668383,0.19787725969617395,0.90625,0.09375
2021-06-30,15.14,198.009057083387,0.09585420121467982,0.1962138031538885,0.9206349206349206,0.07936507936507936
2021-03-31,17.43,187.801461195278,0.09951999244865266,0.19584183911929737,0.8064516129032258,0.1774193548387097
2020-12-31,5.99,188.537451153435,0.07245244865903729,0.19595310026522156,0.7936507936507936,0.19047619047619047
2020-09-30,11.24,180.559851070495,0.0845149124211568,0.20240373338823936,0.9193548387096774,0.04838709677419355
2020-06-30,11.26,166.366855732839,0.09088348717896383,0.20470292224602069,0.8870967741935484,0.0967741935483871
2020-03-31,12.48,172.776420170601,0.0803929146482193,0.1999893498500068,0.8,0.15
2019-12-31,12.53,171.174346142093,0.07705593914786092,0.17903183547180296,0.7833333333333333,0.11666666666666667
2019-09-30,9.88,166.975066891664,0.0804910592353293,0.18320474228317699,0.8709677419354839,0.016129032258064516
2019-06-30,12.96,164.951116940736,0.0897235512828772,0.1825811429412253,0.9516129032258065,0.03225806451612903
2019-03-31,11.44,158.984428291832,0.08925402413595387,0.18240410846474167,0.8064516129032258,0.14516129032258066
2018-12-31,6.46,150.588976832127,0.08141366159667288,0.16904788001464935,0.7213114754098361,0.18032786885245902
2018-09-30,12.33,150.712838342097,0.08718567140361357,0.17681914892021897,0.7741935483870968,0.14516129032258066
2018-06-30,8.31,149.565732083535,0.08350843355631839,0.17704861638014524,0.9206349206349206,0.047619047619047616
2018-03-31,10.46,133.909986520653,0.09073259071776622,0.16085607717222872,0.819672131147541,0.09836065573770492
2017-12-31,1.02,134.228544634281,0.08507877390099791,0.15754903065950565,0.8360655737704918,0.08196721311475409
2017-09-30,8.02,129.074177177872,0.08808888228922392,0.16140365271730833,0.7258064516129032,0.1774193548387097
2017-06-30,9.79,129.125948354866,0.09122875882100795,0.16446938698842903,0.819672131147541,0.09836065573770492
2017-03-31,10.35,125.074797395144,0.08410967052590593,0.16561194202285068,0.85,0.1
2016-12-31,6.92,126.764584969313,0.08141075050652555,0.16119947336806018,0.7627118644067796,0.13559322033898305
2016-09-30,8.34,123.89737709788,0.08628108399385087,0.16256520631176682,0.6949152542372882,0.2542372881355932
2016-06-30,9.61,126.098048838314,0.0867578848426714,0.16473210758775012,0.8392857142857143,0.07142857142857142
2016-03-31,9.92,121.423135589663,0.08639210269985019,0.16629413019671646,0.8793103448275862,0.08620689655172414
2015-12-31,7.08,121.808925717016,0.076349084808494,0.15677618967554452,0.7142857142857143,0.17857142857142858
2015-09-30,8.0,117.833345003582,0.08138613055335461,0.1527246732982333,0.8545454545454545,0.09090909090909091
2015-06-30,8.38,114.851763704532,0.08428255420528671,0.1510228076272961,0.8909090909090909,0.01818181818181818
2015-03-31,7.82,109.758427390711,0.09247581476243899,0.1475248880762357,0.7818181818181819,0.10909090909090909
2014-12-31,8.09,109.14359313669,0.07925339226432516,0.13537623478115543,0.7090909090909091,0.16363636363636364
2014-09-30,7.47,104.817729976716,0.08567252889367857,0.13244752428054773,0.7818181818181819,0.12727272727272726
2014-06-30,8.6,104.613956211552,0.09119242159916083,0.1326652284394442,0.8301886792452831,0.05660377358490566
2014-03-31,7.47,96.7009244005406,0.0890374115177731,0.12771521331915625,0.6481481481481481,0.25925925925925924
2013-12-31,6.36,96.616857193602,0.08104175842017045,0.12443515277011502,0.6296296296296297,0.14814814814814814
2013-09-30,7.05,92.9302885230442,0.08899143789862723,0.12416150006242449,0.7454545454545455,0.10909090909090909
2013-06-30,6.96,92.2176907577961,0.0888115927941691,0.12336250247147476,0.7407407407407407,0.16666666666666666
2013-03-31,7.06,90.8440118806141,0.08960414485764313,0.1236922031720532,0.7169811320754716,0.22641509433962265
2012-12-31,5.71,91.1273893893584,0.07933948342477481,0.11706540755105746,0.6153846153846154,0.21153846153846154
2012-09-30,6.71,87.034847121217,0.09111293076617419,0.12023612682796632,0.7647058823529411,0.11764705882352941
2012-06-30,5.48,88.4281716939482,0.09069507880087571,0.12222167374636009,0.7307692307692307,0.15384615384615385
2012-03-31,7.19,88.4353467699799,0.09441926000152775,0.12222964862710667,,
2011-12-31,5.28,88.6561831287006,0.08346851554907966,0.12057736576449052,,
2011-09-30,6.39,85.8737046708929,0.08966656358322844,0.12056624178541192,,
2011-06-30,7.11,85.0225089963846,0.09726835984517539,0.12152689121974707,,
2011-03-31,6.53,82.1936813903825,0.09368116708909183,0.1245762398706845,,
2010-12-31,5.26,81.99286529060548,0.08715917510740813,0.12200013759655715,,
2010-09-30,5.62,117.58509680908894,0.07738779339723571,0.14220643614417786,,
2010-06-30,6.17,,,,,
2010-03-31,5.41,,,,,
2009-12-31,6.9,,,,,
2009-09-30,6.73,,,,,
2009-06-30,6.09,,,,,
2009-03-31,5.89,,,,,
2008-12-31,2.62,,,,,
2008-09-30,5.18,,,,,
2008-06-30,5.71,,,,,
2008-03-31,5.58,,,,,
